synset	lemma	annotation	goodness label	confidence	language
09426788-n	laut	KEEP	O	1	English
00274724-v	makan hati	DELETE	X	None	None
02971672-a	hindustani	KEEP	None	None	None
00028797-r	namun	KEEP	Y	None	None
13926786-n	kedudukan	DELETE	O	1	English
06487395-n	kalender	KEEP	None	1	English
00395626-a	menjadi merah	DELETE	X	None	None
00897241-v	menyapa	KEEP	O	None	None
01218084-v	mengusung	KEEP	O	None	None
07621776-n	topping	KEEP	None	1	English
07582609-n	celup	KEEP	L	1	English
04007894-n	buatan	KEEP	None	1	English
01729566-a	bekas	KEEP	Y	None	None
00850183-a	terlezat	KEEP	None	None	None
02020590-v	menabrak	DELETE	O	None	None
90000109-n	telok blangah hill park	KEEP	None	None	None
07414068-n	ledakan	KEEP	O	1	English
07675627-n	sosis	KEEP	O	1	Portuguese
06631322-n	sambutan	KEEP	Y	1	Spanish
08544813-n	negeri	KEEP	O	1	Arabic
01110517-v	mengatasi	KEEP	O	None	None
00745499-v	pesankan	KEEP	None	None	None
02410855-v	bekerja	KEEP	Y	None	None
01511387-a	tajam	KEEP	O	None	None
07684289-n	naans	KEEP	X	3	English, Portuguese, Spanish
02686471-v	menyeret	DELETE	O	None	None
14421585-n	perkawinan	KEEP	O	1	English
03417345-n	taman	KEEP	O	1	Polish
01044730-a	santai	KEEP	None	None	None
00602805-v	berlatih	KEEP	O	None	None
02140033-v	pameran	KEEP	Y	None	None
06766190-n	referensi	KEEP	None	1	English
05218119-n	mayat	KEEP	Y	1	Spanish
06892016-n	nomor	KEEP	None	1	Greek
80001644-n	nama umum	KEEP	None	None	None
13779374-n	kapasitas	KEEP	O	1	English
01357342-a	seru	KEEP	None	None	None
06930633-n	tiociu	KEEP	None	1	English
06251781-n	transmisi	KEEP	O	1	Spanish
02148788-v	menyelenggarakan	KEEP	O	None	None
01844431-v	persinggahan	KEEP	None	None	None
00713167-v	kaitkan	KEEP	X	None	None
01185604-v	makan	KEEP	O	None	None
02685951-v	mengiring	DELETE	O	None	None
00649481-v	jelajahilah	KEEP	None	None	None
01129876-v	bela	KEEP	None	None	None
00813589-a	asal	KEEP	O	None	None
01494310-v	memasang	KEEP	O	None	None
10439851-n	pemain	KEEP	Y	1	Spanish
90000318-n	cendol	KEEP	None	None	None
00729246-a	satuan	KEEP	None	None	None
00027167-n	lokasi	KEEP	Y	1	Portuguese
00950272-a	dalam	KEEP	Y	None	None
02829696-n	lengkungan	KEEP	Y	1	Spanish
06687358-n	dukungan	KEEP	None	1	English
00639849-v	memperoleh	DELETE	O	None	None
02798769-n	berbasis	KEEP	None	1	English
90000159-n	Shang Antiques	KEEP	None	None	None
80000689-n	centrepoint	KEEP	None	None	None
00672433-v	perkiraan	KEEP	O	None	None
01849221-v	bergerak ke arah	KEEP	X	None	None
00751567-v	membutuhkan	DELETE	O	None	None
01828736-v	nikmati	KEEP	X	None	None
00069472-r	pada	DELETE	O	None	None
00026385-v	bersantai	KEEP	Y	None	None
02812482-a	wilayah	KEEP	O	None	None
07863935-n	ayam dengan bawang	KEEP	X	None	None
00597385-v	memahami sepenuhnya	KEEP	X	None	None
04633453-n	vitalitas	KEEP	L	1	English
01328705-v	menambahkan	KEEP	O	None	None
07966719-n	sektor	KEEP	O	1	Polish
02355596-v	ada	DELETE	O	None	None
09984659-n	pembeli	KEEP	Y	1	English
04815177-n	kelas	KEEP	O	2	English, Spanish
02309165-v	memberi	KEEP	O	None	None
02394183-v	mengarik	DELETE	O	None	None
02443849-v	mengoperasikan	KEEP	O	None	None
01533442-v	membersihkan	KEEP	O	None	None
04916342-n	sifat	KEEP	O	1	English
01315333-v	melihat-lihat	KEEP	O	None	None
02637202-v	tinggal	KEEP	O	None	None
13372403-n	mutiara	KEEP	O	2	English, Spanish
14419164-n	tautan	KEEP	O	1	English
05667404-n	adat	KEEP	Y	1	English
09512835-n	Nut	DELETE	O	1	English
00756076-v	mengarik	DELETE	O	None	None
90000145-n	louis vuitton	KEEP	None	None	None
00295701-n	perjalanan	KEEP	O	1	English
02623906-v	memegas	DELETE	O	None	None
14924602-n	giok	KEEP	None	1	Thai
08641113-n	chinatown	KEEP	None	1	English
76100093-x	lonjor	KEEP	None	None	None
02531088-v	berusaha bersungguh-sungguh utk	DELETE	X	None	None
00488187-a	di luar dugaan	DELETE	None	None	None
04379964-n	area	KEEP	None	1	English
02423183-v	dibiarkan	KEEP	X	None	None
01468097-a	beruntung	KEEP	Y	None	None
00674607-v	ambil	KEEP	Y	None	None
00024720-n	keadaan	KEEP	O	1	Greek
00793785-v	menggoda	KEEP	O	None	None
00182406-v	menambahkan	KEEP	Y	None	None
01380122-v	menyebar	KEEP	L	None	None
01552419-a	banyak	KEEP	O	None	None
08430203-n	deretan	KEEP	Y	1	Thai
05758059-n	pengalaman	KEEP	Y	1	English
01380122-v	memindahi	DELETE	O	None	None
04256520-n	sofa	KEEP	Y	1	Japanese
05637558-n	kecakapan	KEEP	X	1	English
02511551-v	mengatur	KEEP	O	None	None
09945905-n	teman	KEEP	O	1	English
00144722-r	memang	KEEP	O	None	None
00238022-n	pembukaan	KEEP	O	1	Spanish
02684924-v	terus	KEEP	None	None	None
10480253-n	karyawan	KEEP	Y	1	English
09684609-n	hindu	KEEP	None	1	English
04398497-n	kwong chen	KEEP	None	1	English
01204294-n	garis lurus	DELETE	X	1	English
02337329-a	sedikit	KEEP	None	None	None
90000016-n	China Singapura	DELETE	None	None	None
04990525-n	crescendo	KEEP	None	1	English
08570634-n	padang rumput	KEEP	Y	1	English
80000340-n	orgo	KEEP	None	None	None
02294436-v	melaksanakan	KEEP	O	None	None
01818235-v	dorong	KEEP	O	None	None
00641158-a	sopan	KEEP	O	None	None
02600490-v	menggunakan	KEEP	O	None	None
90000068-n	mount faber park	KEEP	None	None	None
02468635-a	khas	KEEP	O	None	None
01801327-a	nyaman	KEEP	None	None	None
02717102-v	mengangkat	DELETE	O	None	None
04807050-n	patut	KEEP	Y	1	English
02320773-v	surcharges	KEEP	None	None	None
07557434-n	masakan	KEEP	O	1	English
00898804-n	model	KEEP	O	1	English
08629508-n	balik	KEEP	None	1	English
05196375-n	kendali	KEEP	None	1	Finnish
00734054-v	bertafakur	DELETE	O	None	None
08621598-n	jawatan	DELETE	O	1	English
08909107-n	sulawesi	KEEP	X	1	English
02531919-a	cerah	KEEP	O	None	None
00975171-a	bergaya	KEEP	Y	None	None
02472987-n	lelaki	DELETE	O	2	English, Spanish
07228971-n	terima kasih	KEEP	O	1	Finnish
04379964-n	meja	KEEP	Y	1	English
02701210-v	memegang	DELETE	O	None	None
13878951-n	kotak	KEEP	None	1	English
06477371-n	kartu	KEEP	O	1	English
07557434-n	sajian	KEEP	O	1	English
01156834-v	memasukkan	DELETE	O	None	None
10700517-n	penduduk	KEEP	O	1	English
03365991-n	berlantai-lantai	KEEP	X	1	English
13349662-n	simpanan	KEEP	O	1	Slovene
01195299-v	coba	KEEP	O	None	None
01603518-a	tenggara	KEEP	O	None	None
10639925-n	fans	KEEP	X	1	English
00141632-v	ikatkan	KEEP	X	None	None
00150671-r	terlebih	KEEP	O	None	None
06648590-n	bukti	KEEP	O	1	English
01170052-v	minum	KEEP	Y	None	None
02526085-v	tercapai	DELETE	Y	None	None
00079947-r	di atas	KEEP	None	None	None
05840188-n	jenis	KEEP	O	1	Polish
00611481-v	memperingati	KEEP	Y	None	None
01982395-v	jadi	DELETE	O	None	None
07520612-n	teror	KEEP	None	1	Slovene
00614829-v	lupa	KEEP	O	None	None
08630039-n	bhg	DELETE	None	1	English
01325417-n	tanduk	KEEP	Y	1	English
00398978-a	beraneka warna	KEEP	None	None	None
00543200-a	eksentrik	KEEP	O	None	None
03665366-n	lampu	KEEP	Y	1	Slovene
08912842-n	persia	KEEP	None	1	Japanese
02627934-v	jadi	DELETE	O	None	None
00162688-v	diperbarui	KEEP	None	None	None
07886572-n	buat	KEEP	O	1	English
00072201-r	di sekitar	KEEP	X	None	None
00579622-a	kemuka	KEEP	None	None	None
02587532-v	mengatur	DELETE	O	None	None
00004475-n	badan yg menjalankan tugas	DELETE	X	1	Spanish
01291941-v	mendekatkan	KEEP	O	None	None
15166462-n	senja	KEEP	Y	1	Polish
01983548-a	hormat	KEEP	None	None	None
00610538-v	mengingatkan	KEEP	O	None	None
02150948-v	menyaksikan	KEEP	Y	None	None
01075178-a	ramah	KEEP	O	None	None
00118032-r	lalu	KEEP	O	None	None
90000219-n	sang buddha	KEEP	None	None	None
14546227-n	keadaan	KEEP	L	1	English
00070111-a	kosmetik	KEEP	O	None	None
13955461-n	realitas	KEEP	O	2	English, Spanish
90000118-n	tuas checkpoint	KEEP	None	None	None
01091234-a	hiasan	KEEP	Y	None	None
07309599-n	kali	KEEP	Y	1	English
15245829-n	waktu	KEEP	O	1	English
07797641-n	scallops	KEEP	None	None	None
80001373-n	perkedel	KEEP	None	None	None
01103844-a	dikhususkan	KEEP	None	None	None
02959553-a	finlandia	KEEP	None	None	None
00933599-a	mahal	KEEP	O	None	None
03427296-n	pintu	KEEP	O	1	Finnish
09217230-n	pesisir	KEEP	O	1	Thai
02209936-v	memasukkan	DELETE	O	None	None
03732114-n	mausoleum	KEEP	O	2	English, Greek
04835724-n	semangat	KEEP	Y	1	English
02263982-a	berongga	KEEP	O	None	None
09452653-n	jalur	KEEP	O	2	English, Spanish
00031899-r	sekali	KEEP	None	None	None
07935152-n	teh hijau	KEEP	O	None	None
06685456-n	jaminan	KEEP	Y	1	English
02014165-v	berangkat	KEEP	Y	None	None
14526182-n	adrenalin	KEEP	None	1	English
10471250-n	ulama	KEEP	None	1	English
05930736-n	bentuk	KEEP	Y	1	Slovene
02566528-v	melanggar	KEEP	O	None	None
13863771-n	rangka	DELETE	O	1	Spanish
00328128-v	merebus	KEEP	Y	None	None
01138102-v	melindungi	KEEP	O	None	None
00438332-a	nyaman	KEEP	O	None	None
07555863-n	makanan yang keras	DELETE	X	1	English
00759269-v	mohon	KEEP	O	None	None
00599992-v	mengkaji	DELETE	O	None	None
05638063-n	keahlian	KEEP	O	1	English
15169248-n	matahari terbenam	KEEP	X	1	English
05217168-n	bentuk	DELETE	O	1	English
90000024-n	dewa keberuntungan	KEEP	None	None	None
00122128-a	sebelum	KEEP	O	None	None
02186338-a	i	KEEP	None	None	None
01737923-v	cipta	KEEP	None	None	None
05210534-n	jiwa	KEEP	O	1	English
00238022-n	hal memperkenalkan seseorang	DELETE	X	1	Spanish
06261586-n	media	KEEP	Y	1	English
01779428-a	diri	KEEP	O	None	None
02647497-v	mengalir	DELETE	O	None	None
00188510-r	yaitu	KEEP	None	None	None
00487525-a	standard	DELETE	None	None	None
09762509-n	superstar	KEEP	O	1	Arabic
06532330-n	hukum	KEEP	O	1	Spanish
02191546-v	terasa	KEEP	None	None	None
01199083-a	bermacam-macam	KEEP	O	None	None
00362348-v	menghentikan	KEEP	O	None	None
00610592-n	sastra	KEEP	None	1	Spanish
05098942-n	ukuran	KEEP	O	1	Finnish
13596756-n	par	KEEP	O	1	Spanish
01861205-a	umum	KEEP	Y	None	None
00564695-v	lipat	KEEP	L	None	None
02560585-v	membentuk	DELETE	O	None	None
90000132-n	golden mile complex	KEEP	None	None	None
00631798-a	sebenar	KEEP	X	None	None
07786164-n	oyster	KEEP	None	2	English, Portuguese
02603699-v	nampak	DELETE	O	None	None
90000133-n	golden peony	KEEP	None	None	None
09179606-n	kenapa	KEEP	M	1	Slovene
08593924-n	barisan	DELETE	O	1	Spanish
13943968-n	hal	KEEP	O	1	Greek
00035718-r	agak	KEEP	O	None	None
05641556-n	koordinasi	KEEP	O	1	Portuguese
02368336-a	tauco	KEEP	None	None	None
02393086-a	artistik	KEEP	L	None	None
04852088-n	kejahatan	KEEP	O	1	Finnish
04835950-n	aksi	KEEP	O	1	English
02627934-v	mengarik	DELETE	O	None	None
13910384-n	ruangan	DELETE	Y	1	English
02627934-v	meluwengkan	DELETE	O	None	None
00846509-v	mencemarkan	KEEP	O	None	None
01157517-v	membasmi	DELETE	O	None	None
01275762-v	bergaris	KEEP	O	None	None
02904803-n	brokat	KEEP	None	1	Portuguese
08982037-n	pacific	KEEP	None	1	English
02560585-v	membentuk watak	DELETE	X	None	None
00588888-v	mengetahui	KEEP	O	None	None
08630039-n	rantau	DELETE	O	1	English
10461747-n	pengaruh	KEEP	O	1	Slovene
09880741-n	maling	KEEP	O	1	English
10583387-n	pemukim	KEEP	None	1	English
01427127-v	membawa	DELETE	O	None	None
00221627-a	seperti raksasa	KEEP	X	None	None
01258617-a	tubuh manusia	KEEP	X	None	None
14407899-n	daya pikat	KEEP	X	1	English
02685390-v	terbentang	KEEP	O	None	None
00258549-r	melengkung ke dalam	DELETE	X	None	None
00986027-a	gemuk	KEEP	Y	None	None
02958392-a	prancis	KEEP	None	None	None
02603699-v	kelihatan	DELETE	O	None	None
00036291-r	agak	KEEP	O	None	None
02568672-v	latih	DELETE	O	None	None
05600637-n	wajah	KEEP	Y	1	Portuguese
00410247-n	pola	KEEP	O	1	Greek
00488187-a	tersendiri	DELETE	O	None	None
10193967-n	suami	KEEP	Y	1	Spanish
02402425-n	ternak	KEEP	None	1	English
08436759-n	flora	KEEP	Y	4	English, Portuguese, Spanish, Greek
07136940-n	obrolan	KEEP	None	1	Spanish
09774266-n	konsultan	KEEP	Y	1	Spanish
01578513-v	merendam	KEEP	Y	None	None
02070491-a	baru	KEEP	O	None	None
05098942-n	luas	KEEP	Y	1	Finnish
08971693-n	natal	KEEP	None	1	Spanish
00048739-r	sekarang	KEEP	O	None	None
00005526-v	berembus	DELETE	O	None	None
00294245-v	bermekaran	KEEP	None	None	None
13721387-n	ton	KEEP	Y	1	English
01461328-v	menggabungkan	KEEP	O	None	None
80001305-n	Orang Minangkabau	KEEP	None	None	None
01269073-a	lapar	KEEP	Y	None	None
00062857-r	oleh itu	KEEP	None	None	None
07824191-n	kari kambing	KEEP	X	None	None
00813978-v	berdiskusi	KEEP	Y	None	None
07738353-n	kulit	KEEP	Y	1	English
01204557-a	tinggi	KEEP	O	None	None
02614181-v	orang	DELETE	O	None	None
03210940-n	tampilan	KEEP	None	1	Spanish
80001230-x	ya	KEEP	None	None	None
02093888-a	selamat	KEEP	O	None	None
01389993-a	besar	KEEP	None	None	None
01730745-a	dulu	KEEP	O	None	None
02236124-v	mempunyai	DELETE	O	None	None
06500937-n	paspor	KEEP	None	2	English, Spanish
00840517-n	makan	KEEP	None	1	Spanish
14050143-n	energi	KEEP	O	1	English
07829412-n	sauce	KEEP	None	1	Spanish
00048475-r	masa kini	KEEP	O	None	None
02209745-v	mengikat perjanjian	DELETE	X	None	None
02632940-v	tercantum	KEEP	O	None	None
02670890-v	berfungsi	KEEP	O	None	None
14997529-n	pengawet	KEEP	O	1	English
02623731-v	berakar	KEEP	Y	None	None
08521623-n	kuburan	KEEP	O	1	English
01968165-a	harian	KEEP	Y	None	None
09225146-n	air	KEEP	O	1	English
80000814-n	dokar	KEEP	None	None	None
08630039-n	bagian	KEEP	O	1	English
01852812-a	secara langsung	KEEP	X	None	None
01182709-v	berikan	KEEP	None	None	None
07722217-n	bawang	KEEP	O	1	Polish
00238022-n	penampilan	KEEP	None	1	Spanish
01083769-v	mereguk	DELETE	O	None	None
80000749-n	century egg	KEEP	None	None	None
01157517-v	menuntaskan	DELETE	O	None	None
01003050-a	habis	KEEP	Y	None	None
01829292-v	membara	KEEP	O	None	None
00329831-a	pusat	KEEP	Y	None	None
06646243-n	pertanda	KEEP	None	1	Spanish
00609100-v	terlupakan	KEEP	X	None	None
01065694-a	bebas	KEEP	O	None	None
09929298-n	pemanjat	KEEP	O	1	English
10748620-n	vip	KEEP	None	1	English
03463832-n	perkebunan	KEEP	None	1	English
00515414-n	hiburan	KEEP	O	2	English, Spanish
00771632-v	menemani ke	DELETE	X	None	None
10480253-n	profesional	KEEP	Y	1	English
01792973-a	kosong	KEEP	O	None	None
14474052-n	kemakmuran	KEEP	O	1	English
00571061-v	melepas	KEEP	O	None	None
00388065-v	bereksperimen	KEEP	None	None	None
90000047-n	kandahar street	KEEP	None	None	None
00068368-r	sepanjang	KEEP	O	None	None
02143283-v	menyingkap	KEEP	Y	None	None
01157517-v	menghabiskan tenaga	DELETE	X	None	None
00120316-v	pusatnya—menjadikan	KEEP	None	None	None
13863771-n	tali	DELETE	O	1	Spanish
03671473-n	dawai	DELETE	O	1	Spanish
13713003-n	garis lurus	DELETE	X	1	English
05933834-n	latar belakang	KEEP	O	1	English
03719053-n	tempat tinggal	KEEP	O	1	English
00771632-v	menuntun	DELETE	O	None	None
02118933-v	perhatikan	KEEP	X	None	None
02280869-v	menguras	KEEP	O	None	None
00969333-a	lain	KEEP	O	None	None
02355596-v	mendapati	DELETE	O	None	None
00609100-v	lupakan	KEEP	X	None	None
00972902-a	modern	KEEP	None	None	None
02685951-v	menghabiskan masa	DELETE	X	None	None
10628644-n	sultan	KEEP	O	1	Slovene
08559508-n	rumah	KEEP	O	1	Portuguese
08408418-n	bazaar	KEEP	None	None	None
01982395-v	menabrak	DELETE	O	None	None
02488118-a	kelas atas	KEEP	None	None	None
01824736-v	mahu	DELETE	None	None	None
07639855-n	gorengan	KEEP	O	1	English
07511733-n	harap	KEEP	O	1	English
01027379-n	upacara	KEEP	O	1	English
80001040-n	topshop	KEEP	None	None	None
00065639-v	mendapatkan	KEEP	O	None	None
05816287-n	ilmu	KEEP	O	1	English
06799897-n	rangka	DELETE	O	1	English
02355596-v	mengadakan	DELETE	O	None	None
01214265-v	membutuhkan	DELETE	O	None	None
00395626-a	memerah	DELETE	O	None	None
07058064-n	techno	KEEP	None	3	English, Polish, Spanish
02157415-n	perut	KEEP	O	1	English
14519366-n	beriklim	KEEP	None	1	Spanish
09477037-n	jaringan	KEEP	O	1	Greek
09813126-n	pemain	KEEP	O	1	Spanish
08509442-n	zona	KEEP	None	1	Portuguese
00770437-v	mempunyai	DELETE	O	None	None
00884466-n	kursus	KEEP	Y	1	Portuguese
03122400-a	taiwan	KEEP	None	None	None
01973125-v	menurunkan	KEEP	O	None	None
00610538-v	ingatkan	KEEP	L	None	None
01256417-n	pimpinan	KEEP	Y	1	English
02479323-v	mengeluarkan	DELETE	O	None	None
01410363-a	lain	KEEP	Y	None	None
02604760-v	inilah	KEEP	None	None	None
00468480-n	sepak bola	KEEP	O	1	Spanish
07186828-n	seru	KEEP	O	1	English
00833546-v	memperbarui	KEEP	None	None	None
02478749-a	terbagi	KEEP	Y	None	None
02036755-v	berbaris	KEEP	O	None	None
00248026-v	menjadi tua	DELETE	X	None	None
09000462-n	capetown	KEEP	None	1	Japanese
02920121-a	sejarah	KEEP	O	None	None
00679147-a	rusak	KEEP	O	None	None
02665282-v	menyerupai	KEEP	Y	None	None
80000823-r	ketika	KEEP	None	None	None
10030277-n	dramatis	KEEP	O	1	Slovene
03412058-n	galeri	KEEP	Y	1	English
00911752-n	pendirian	KEEP	O	1	Slovene
02410393-a	tebal	KEEP	Y	None	None
00037641-r	begitu	KEEP	O	None	None
90000061-n	le peranakan	KEEP	None	None	None
01835496-v	bepergian	KEEP	O	None	None
00070965-n	kesalahan	KEEP	Y	1	English
00320852-n	hal memperkenalkan sso	DELETE	X	1	Spanish
07707451-n	sayuran	KEEP	Y	1	English
07996689-n	serangkaian	KEEP	X	1	English
01211296-a	tinggi	KEEP	O	None	None
09823502-n	bibi	KEEP	O	1	English
04081281-n	resto	KEEP	X	1	English
80001085-n	Madam	KEEP	None	None	None
01982395-v	demik	DELETE	O	None	None
04211970-n	bolak-balik	KEEP	None	1	English
00087736-v	terjangkit	KEEP	None	None	None
01654628-v	menghasilkan	KEEP	O	None	None
08593924-n	garisan	DELETE	None	1	Spanish
13736799-n	setengah	KEEP	Y	1	Slovene
01272397-a	pengenal	KEEP	None	None	None
02065665-a	berlainan	KEEP	O	None	None
11473954-n	cahaya	KEEP	O	1	Polish
80000593-n	bak kut teh	KEEP	None	None	None
03065424-n	lingkaran	KEEP	O	1	English
05115804-n	kekayaan	KEEP	O	1	English
09908025-n	abang	KEEP	None	1	Finnish
15201505-n	tahun	KEEP	O	1	Polish
02204692-v	milik	KEEP	O	None	None
07270179-n	unsur	KEEP	O	1	English
00524682-v	memasukkan	DELETE	O	None	None
06518068-n	kupon	KEEP	Y	1	English
00144722-r	sudah pasti	KEEP	X	None	None
05946687-n	beragam	KEEP	None	1	English
06403969-n	kaligrafi	KEEP	O	1	Portuguese
06831284-n	B	KEEP	None	4	Slovene, English, Portuguese, Spanish
02459109-a	tenang	KEEP	O	None	None
07164546-n	penawaran	KEEP	None	1	Spanish
07821919-n	kunyit	KEEP	O	1	English
90000325-n	belachan	DELETE	None	None	None
80001130-n	dia	KEEP	None	None	None
03083417-a	malaysia	KEEP	None	None	None
80001275-n	neraka	KEEP	None	None	None
02702656-a	kontrak	KEEP	O	None	None
09020961-n	tajikistan	KEEP	None	3	English, Portuguese, Greek
05131902-n	55	KEEP	None	1	Spanish
00199707-n	modifikasi	KEEP	None	1	Greek
02743391-a	manusia	KEEP	O	None	None
02544048-a	yang mengerikan	DELETE	X	None	None
13832355-n	ke arah timur	DELETE	X	1	Portuguese
02075857-v	mengikut	DELETE	O	None	None
02686471-v	mengiring	DELETE	O	None	None
03925226-n	foto	KEEP	O	1	English
02599636-v	mengarik	DELETE	O	None	None
04263614-n	sumber	KEEP	L	1	Spanish
00021878-r	kadang	KEEP	L	None	None
00310386-v	berkembang	KEEP	Y	None	None
01714208-v	menampilkan	KEEP	None	None	None
01181295-v	menyajikan	KEEP	O	None	None
08510666-n	sisi	KEEP	O	1	English
02325968-v	belanja	KEEP	None	None	None
00204391-v	merosot	KEEP	O	None	None
00899226-a	muskil	KEEP	None	None	None
00476249-a	luas	KEEP	O	None	None
00295701-n	baris	KEEP	None	1	English
00452512-v	mengisi	KEEP	Y	None	None
01063939-n	menunggu	KEEP	O	1	Greek
00484680-a	nirlaba	KEEP	None	None	None
00378985-n	kombinasi	KEEP	O	1	English
02202443-a	keepat	KEEP	None	None	None
04400499-n	telegraf	KEEP	O	1	Polish
10595164-n	saudara	KEEP	M	1	Spanish
05481095-n	otak	KEEP	Y	1	Greek
00180756-r	ke sisi	DELETE	O	None	None
07926920-n	gula	DELETE	O	None	None
05142863-n	keuntungan	KEEP	Y	1	English
07809096-n	bumbu	KEEP	Y	1	Finnish
90000015-n	china selatan	KEEP	None	None	None
01307571-a	gaul	KEEP	None	None	None
09018848-n	georgia	KEEP	None	1	Greek
02236842-a	mulus	KEEP	None	None	None
05861067-n	jumlah	KEEP	O	1	English
02699941-v	tepat	KEEP	O	None	None
02149787-a	potongan	DELETE	O	None	None
02686471-v	menuntun	DELETE	O	None	None
01411919-a	mudah	KEEP	O	None	None
02004009-v	mengikuti	KEEP	O	None	None
02219094-v	didukung	KEEP	None	None	None
10472799-n	pangeran	KEEP	O	1	Portuguese
00120675-v	menjadi	KEEP	O	None	None
90000070-n	Nabi Ibrahim	KEEP	None	None	None
00430606-n	permainan	KEEP	Y	1	Finnish
01012503-a	asli	KEEP	Y	None	None
01152746-a	lembut	KEEP	Y	None	None
00018189-r	sampai-sampai	KEEP	O	None	None
02414031-a	halus	KEEP	O	None	None
01285136-a	megah	KEEP	O	None	None
00751838-a	elegan	KEEP	O	None	None
01577635-v	membenamkan diri	KEEP	None	None	None
00936297-a	bekas	KEEP	O	None	None
02067491-a	berlainan	KEEP	O	None	None
02671880-v	memuaskan	KEEP	O	None	None
00077196-a	apung	KEEP	L	None	None
08774227-n	munich	KEEP	None	1	Greek
07887634-n	lager	KEEP	X	1	Spanish
90000078-n	Penggunaan Data Statistik	KEEP	None	None	None
00031899-r	sangat	KEEP	O	None	None
01920697-a	diramaikan	KEEP	None	None	None
02318464-a	lempengan	KEEP	None	None	None
08223802-n	komunitas	KEEP	O	1	Japanese
01494310-v	menempatkan	KEEP	Y	None	None
01027859-n	tradisi	KEEP	Y	1	Portuguese
05145118-n	harga	KEEP	Y	1	Spanish
02316868-v	memberikan	KEEP	O	None	None
07062697-n	jazz	KEEP	X	1	Polish
02479323-v	makanan	DELETE	O	None	None
07646578-n	daging bebek	KEEP	X	1	Polish
00931852-v	artinya	KEEP	None	None	None
02225492-v	sisakan	KEEP	None	None	None
02395115-a	lezat	KEEP	None	None	None
90000048-n	katong antique house	KEEP	None	None	None
02622234-v	bergabung	KEEP	O	None	None
90000414-n	tandoori	KEEP	None	None	None
01752495-v	mewujudkan	KEEP	O	None	None
02664769-v	ialah	KEEP	M	None	None
02717102-v	membawa pergi	DELETE	X	None	None
01190948-v	menikmati	KEEP	O	None	None
00674607-v	memasukkan	DELETE	O	None	None
01858910-v	keliling	KEEP	None	None	None
02629535-v	digabung	KEEP	None	None	None
00589904-v	mendapat	KEEP	O	None	None
01681492-v	marmer	KEEP	None	None	None
06891493-n	pementasan	KEEP	O	1	English
00615774-v	terkecuali	KEEP	Y	None	None
02205272-v	jadi	DELETE	O	None	None
01912159-v	melintasi	KEEP	O	None	None
04335209-n	street	KEEP	None	1	English
05851131-n	lambang	KEEP	O	1	English
07059962-n	pop	KEEP	Y	1	English
00488187-a	khas	KEEP	O	None	None
09620794-n	penduduk asli	KEEP	O	1	English
02191040-a	48	KEEP	None	None	None
01569566-v	pasangi	KEEP	None	None	None
01168569-n	persaingan	KEEP	Y	1	Spanish
00489491-a	selalu	DELETE	O	None	None
07860629-n	mana	KEEP	O	1	Slovene
06691083-n	passport	KEEP	None	1	English
08559508-n	tempat kediaman	DELETE	None	1	Portuguese
77000092-n	apa	KEEP	None	None	None
90000184-n	Parade Chingay	KEEP	None	None	None
00099951-n	ilusi	KEEP	Y	1	Polish
00598954-v	diketahui	KEEP	None	None	None
02096167-v	menyimpang	DELETE	Y	None	None
00674607-v	membuat pilihan	DELETE	X	None	None
08591592-n	padang	KEEP	Y	1	Portuguese
01197014-v	mengalami	DELETE	O	None	None
02671613-v	berperan	KEEP	O	None	None
00200258-a	hard cover	KEEP	None	None	None
01002740-v	memfilmkan	KEEP	None	None	None
02596462-a	berkulit	KEEP	O	None	None
02394183-v	menjalankan	DELETE	O	None	None
00851744-a	dapat dipilih	KEEP	X	None	None
10461424-n	kekuatan	KEEP	Y	1	Spanish
01148283-a	senang hati	KEEP	None	None	None
06888944-n	pemandangan	KEEP	O	1	Spanish
01494310-v	tata	KEEP	None	None	None
02708420-v	meluangkan	KEEP	Y	None	None
00363621-s	keren	KEEP	None	None	None
00197395-r	dengan senang hati	KEEP	X	None	None
00586262-n	tugas	DELETE	O	1	English
07458453-n	perlombaan	KEEP	None	1	Spanish
07561112-n	makan bersukat	DELETE	X	1	English
07355491-n	maut	KEEP	O	1	Spanish
07834160-n	rempah-rempah	KEEP	O	None	None
01687167-a	baru	KEEP	O	None	None
04536866-n	biola	KEEP	O	1	English
02304982-v	berkumpul	KEEP	O	None	None
00618377-a	roasted	KEEP	None	None	None
01380122-v	membabarkan	DELETE	O	None	None
02075857-v	jadi	DELETE	O	None	None
01654628-v	bangun	KEEP	Y	None	None
13927383-n	kondisi	KEEP	Y	1	Greek
02187296-a	sepuluh	KEEP	O	None	None
09393605-n	dataran	KEEP	O	1	Spanish
00756076-v	berhasil	DELETE	O	None	None
01375174-a	digelar	KEEP	X	None	None
00026385-v	beristirahat	KEEP	Y	None	None
01839317-a	sangat	KEEP	O	None	None
13988498-n	negara	DELETE	O	1	Slovene
13743269-n	2	KEEP	None	1	Portuguese
02560585-v	membikin	DELETE	O	None	None
01764800-v	menenangkan hati	KEEP	O	None	None
01188725-v	dibutuhkan	KEEP	None	None	None
14879750-n	kristal	KEEP	O	1	English
15166191-n	petang	KEEP	Y	1	English
02385102-a	tinggi	KEEP	Y	None	None
00445548-a	jauh	KEEP	Y	None	None
06797169-n	tanda	KEEP	O	1	Arabic
